rxlr_five,rxlr_three,family
22206,2484,rxlr
22206,17339,rxlr
16265,17160,rxlr
6329,34709,rxlr
3063,6329,rxlr
3038,3063,rxlr
9904,3038,rxlr
5183,24600,rxlr
5183,48657,rxlr
4917,6129,rxlr
4917,52185,rxlr
493,17346,rxlr
1906,8707,rxlr
2294,1906,rxlr
86621,18458,rxlr
33397,4301,rxlr
4198,42840,rxlr
1167,4198,rxlr
4216,6601,rxlr
4232,4216,rxlr
4226,4232,rxlr
2231,4226,rxlr
1586,111,rxlr
27373,1760,rxlr
21283,1378,rxlr
23444,21283,rxlr
18290,45,rxlr
41451,29698,rxlr
3420,41451,rxlr
818,3420,rxlr
2563,17786,rxlr
386,9401,rxlr
808,15438,rxlr
2349,808,rxlr
15167,5404,rxlr
1329,9286,rxlr
7729,2092,rxlr
14269,3054,rxlr
14269,17078,rxlr
48211,1522,rxlr
28321,326,rxlr
49943,14923,rxlr
7597,37071,rxlr
32853,19166,rxlr
28050,4431,rxlr
24432,43615,rxlr
2340,43615,rxlr
22026,1447,rxlr
7291,9134,rxlr
1358,30345,rxlr
30345,1469,rxlr
855,966,rxlr
15138,4799,rxlr
27256,27338,rxlr
27256,28655,rxlr
3346,229,rxlr
18782,370,rxlr
1995,48801,rxlr
48801,3918,rxlr
65067,335,rxlr
65067,18416,rxlr
1332,1441,rxlr
71157,50443,rxlr
14098,44044,rxlr
9244,793,rxlr
7578,41965,rxlr
16283,13888,rxlr
21571,13456,rxlr
17051,2332,rxlr
40235,14733,rxlr
1866,20557,rxlr
2259,1299,rxlr
21388,2259,rxlr
8075,730,rxlr
7275,3188,rxlr
21652,62641,rxlr
4430,924,rxlr
38341,80313,rxlr
28633,28142,rxlr
20653,1826,rxlr
53122,602,rxlr
22880,1511,rxlr
24972,508,rxlr
30096,2938,rxlr
30826,30096,rxlr
30826,603,rxlr
102577,24711,rxlr
2267,97762,rxlr
8903,1707,rxlr
2259,1707,rxlr
26517,6539,rxlr
4482,142854,rxlr
18275,15099,rxlr
1623,2276,rxlr
23731,7066,rxlr
13462,473,rxlr
56275,608,rxlr
2414,56275,rxlr
20115,16352,rxlr
2092,17667,rxlr
11991,9732,rxlr
35729,3189,rxlr
52324,25326,rxlr
37612,17887,rxlr
7423,7883,rxlr
971,12634,rxlr
201,8865,rxlr
19669,15576,rxlr
24440,19669,rxlr
20995,19238,rxlr
16559,20915,rxlr
20915,16130,rxlr
12984,978,rxlr
46329,1181,rxlr
46329,3011,rxlr
38836,858,rxlr
8234,858,rxlr
30648,525,rxlr
5414,16103,rxlr
7568,23961,rxlr
56652,26809,rxlr
593,45663,rxlr
34874,17006,rxlr
9095,31861,rxlr
18478,839,rxlr
6057,1206,rxlr
9761,119038,rxlr
18081,52649,rxlr
9816,13216,rxlr
10553,31707,rxlr
15791,3152,rxlr
4710,977,rxlr
766,9949,rxlr
1856,19716,rxlr
47869,761,rxlr
36979,32957,rxlr
11096,54419,rxlr
15483,2196,rxlr
6044,3060,rxlr
80837,3440,rxlr
26753,34259,rxlr
16477,15011,rxlr
38255,13189,rxlr
600,59473,rxlr
4938,59473,rxlr
4938,43454,rxlr
39603,46229,rxlr
7213,12312,rxlr
1843,1399,rxlr
4481,2571,rxlr
4481,42287,rxlr
40661,9165,rxlr
11796,1873,rxlr
34740,3620,rxlr
17059,28147,rxlr
21440,12291,rxlr
48809,27586,rxlr
10268,2197,rxlr
5627,1772,rxlr
426,7086,rxlr
4162,28009,rxlr
5695,31691,rxlr
23840,6163,rxlr
9785,2513,rxlr
44971,40469,rxlr
12415,40469,rxlr
86601,30632,rxlr
105711,1976,rxlr
2146,9368,rxlr
53552,25384,rxlr
30492,4255,rxlr
36633,592,rxlr
890,1533,rxlr
23571,416,rxlr
661,22353,rxlr
13735,761,rxlr
3009,14530,rxlr
1867,10017,rxlr
35040,22346,rxlr
1051,14058,rxlr
1086,25422,rxlr
1716,428,rxlr
18002,11433,rxlr
11883,38565,rxlr
28435,5115,rxlr
8105,5577,rxlr
42337,28688,rxlr
24957,15713,rxlr
1284,51,rxlr
1555,2060,rxlr
5960,20447,rxlr
731,25733,rxlr
1297,659,rxlr
2661,5277,rxlr
