Gene,Log_Tom2d
PITG_00254,-0.473812873
PITG_00255,1.014325373
PITG_00256,0.578759433
PITG_00257,-0.223003695
PITG_00258,0.065762373
PITG_00259,-0.004494873
PITG_00260,0.578720513
PITG_00261,0.03368332
PITG_00262,-0.53084259
PITG_00263,-0.680013025
PITG_00264,-0.30575388
PITG_00265,0.211070486
PITG_00266,-0.419331529
PITG_00267,0.479802364
PITG_00268,-0.183465503
PITG_00269,-0.584643714
PITG_00270,-0.41511387
PITG_00271,-0.174645434
PITG_00272,-1.351405061
PITG_00273,0.521827855
PITG_00274,-0.455168665
PITG_00275,-0.846153568
PITG_00276,0.21093367
PITG_00279,-1.230873148
PITG_00280,-1.105120919
PITG_00281,-0.476324703
PITG_00282,-0.343603818
PITG_00283,-5.65E-05
PITG_00284,0.067193039
PITG_00286,0.384346214
PITG_00287,0.106734302
PITG_00288,0.649407629
PITG_00289,-0.456563064
PITG_00290,-0.054005544
PITG_00291,-0.817656318
PITG_00292,-0.427810898
PITG_00293,-0.195824648
PITG_00294,-0.239076459
PITG_00295,-0.33363887
PITG_00296,-0.257859055
PITG_00297,-0.164304005
PITG_00298,0.075869367
PITG_00299,-0.373601047
PITG_00300,-0.330925935
PITG_00301,0.448343935
PITG_00302,-0.076684079
PITG_00303,0.054833933
PITG_00304,0.368498848
PITG_00305,0.070566769
PITG_00306,0.108549172
PITG_00307,-0.041378718
PITG_00308,-0.129172408
PITG_00309,-0.169676884
PITG_00310,-0.248739244
PITG_00311,0.250491395
PITG_00312,0.090186452
PITG_00313,0.262381478
PITG_00314,-0.744487243
PITG_00315,-0.09017819
PITG_00319,0.261354053
PITG_00320,-0.05549498
PITG_00321,1.023948068
PITG_00322,0.087953739
PITG_00323,-0.417682409
PITG_00324,0.002078645
PITG_00327,0.36962707
PITG_00328,-0.277230249
PITG_00329,-1.638099859
PITG_00330,-0.246804056
PITG_00331,-0.110033849
PITG_00332,-0.08136423
PITG_00333,-0.707582999
PITG_00334,-1.137513522
PITG_00335,-0.110792447
PITG_00336,-1.045749624
PITG_00337,-0.600415091
PITG_00338,-0.305104163
PITG_00339,0.518963508
PITG_00340,-0.00236722
PITG_00341,0.095292531
PITG_00342,0.423912371
PITG_00343,-0.026160739
PITG_00347,0.379501818
PITG_00348,0.1599791
PITG_00349,0.32904038
PITG_00350,-0.526300082
PITG_00351,0.162133417
PITG_00352,-0.089122758
PITG_00353,0.064162505
PITG_00354,-0.228875372
PITG_00357,0.260550472
PITG_00358,0.284681474
PITG_00359,0.382506778
PITG_00360,0.095144119
PITG_00361,-0.481970585
PITG_00362,0.238830367
PITG_00363,0.546828226
PITG_00364,0.279343381
PITG_00366,-0.564905764
PITG_00368,-0.731667163
PITG_00369,-0.154527566
PITG_00370,-0.308491375
PITG_00372,0.144375285
PITG_00373,0.255835506
PITG_00375,1.141814983
PITG_00377,-0.120911263
PITG_00378,-0.485538458
PITG_00379,0.059053006
PITG_00380,-1.366645115
PITG_00381,-0.847599731
PITG_00382,-0.046248503
PITG_00383,0.412106154
PITG_00384,-0.636196704
PITG_00385,-0.772874282
PITG_00386,-0.213228924
PITG_00388,0.179955645
PITG_00389,-0.380588225
PITG_00390,-1.232807337
PITG_00391,-1.499891626
PITG_00392,0.179496904
PITG_00393,0.367062874
PITG_00394,0.452947357
PITG_00395,-2.075421437
PITG_00396,-0.533610548
PITG_00397,-0.479757942
PITG_00398,0.20010011
PITG_00399,0.394679739
PITG_00400,-0.415873416
PITG_00401,-0.459399824
PITG_00402,-0.096616594
PITG_00403,-0.098630345
PITG_00404,-0.265946342
PITG_00405,0.270509648
PITG_00406,-0.037876128
PITG_00407,0.356641977
PITG_00408,-0.887919936
PITG_00409,-0.101246713
PITG_00410,0.471265475
PITG_00411,-0.25839425
PITG_00412,0.311174585
PITG_00413,-0.592181234
PITG_00414,0.383967288
PITG_00415,0.269346387
PITG_00416,0.100842262
PITG_00417,0.061286722
PITG_00418,0.255625139
PITG_00419,-0.25652075
PITG_00420,0.699163413
PITG_00421,-0.615686935
PITG_00422,-0.288661736
PITG_00423,0.060799867
PITG_00424,0.520963669
PITG_00425,-0.039856023
PITG_00426,0.654958073
PITG_00427,-0.80218162
PITG_00430,-0.589726507
PITG_00431,-0.614211067
PITG_00432,0.187692292
PITG_00433,-0.223329154
PITG_00436,0.465013857
PITG_00437,-0.808123347
PITG_00438,1.0001176
PITG_00439,0.130376699
PITG_00440,-0.525613123
PITG_00441,-0.445241904
PITG_00442,-0.211383329
PITG_00443,-0.244742407
PITG_00444,-0.099139663
PITG_00445,0.641319494
PITG_00446,0.9714143
PITG_00447,0.303883774
PITG_00448,0.798793124
PITG_00449,-0.467499179
PITG_00450,-0.078524854
PITG_00451,-0.190356041
PITG_00452,-0.9729655
PITG_00453,-0.393920779
PITG_00454,-0.925213897
PITG_00455,-1.886734594
PITG_00456,-0.249069224
PITG_00457,-0.42822861
PITG_00458,-0.219169162
PITG_00459,-0.043671438
PITG_00460,-0.219097033
PITG_00461,-1.851537879
PITG_00462,-0.203636256
PITG_00463,-0.140234546
PITG_00464,-0.233137862
PITG_00465,-0.573445996
PITG_00466,-0.84528021
PITG_00467,0.351198992
PITG_00468,-0.273535831
PITG_00469,-1.206813612
PITG_00470,-0.091037208
PITG_00471,0.373811701
PITG_00472,-0.456385688
PITG_00473,0.237181454
PITG_00474,0.100799185
PITG_00475,0.000560819
PITG_00476,-0.362443976
PITG_00477,0.198228481
PITG_00478,0.061717015
PITG_00479,-0.757052787
PITG_00480,0.247084416
PITG_00481,-1.099459506
PITG_00482,-0.045022242
PITG_00483,0.357870466
PITG_00484,0.374035336
PITG_00485,0.363607458
PITG_00486,0.149388002
PITG_00488,-0.891444268
PITG_00489,0.219771897
PITG_00490,-0.113681259
PITG_00491,0.247695906
PITG_00492,-1.569929829
PITG_00493,-0.217268601
PITG_00494,-1.159004966
PITG_00495,-0.450085958
PITG_00496,0.118215282
PITG_00499,0.468462898
PITG_00500,0.027072275
PITG_00501,-1.016376779
PITG_00502,-0.251204218
PITG_00503,-0.775958823
PITG_00504,0.005106391
PITG_00505,-1.286017424
PITG_00506,-0.140679733
PITG_00507,0.264312367
PITG_00508,-0.045615941
PITG_00509,-0.281658269
PITG_00510,0.610331052
PITG_00513,0.127315083
PITG_00514,0.289686393
PITG_00515,0.270191832
PITG_00516,0.296699514
PITG_00517,-0.104768531
PITG_00518,-0.920077331
PITG_00522,0.222303945
PITG_00523,-0.255736254
PITG_00524,-0.194928725
PITG_00525,-0.057361419
PITG_00526,-0.104810526
PITG_00527,-0.994020102
PITG_00528,-0.682678913
PITG_00529,-0.494068611
PITG_00530,0.425636836
PITG_00531,-0.487107927
PITG_00532,-0.59124832
PITG_00533,0.006814846
PITG_00535,0.33847339
PITG_00536,-0.138146863
PITG_00537,-0.922866789
PITG_00538,-0.446104568
PITG_00539,0.048012983
PITG_00540,-0.005150347
PITG_00542,-0.257055317
PITG_00543,0.264255005
PITG_00544,-0.088609344
PITG_00545,-0.54112386
PITG_00546,-0.285901436
PITG_00547,0.441532523
PITG_00550,-0.15638998
PITG_00551,0.503707199
PITG_00552,-1.744887786
PITG_00553,-0.118413419
PITG_00554,0.396545799
PITG_00555,0.292518239
PITG_00556,-0.22718833
PITG_00557,-0.26911221
PITG_00558,-0.040436804
PITG_00559,-0.014339953
PITG_00560,-0.065557609
PITG_00561,-0.754082844
PITG_00562,0.028916134
PITG_00563,0.409161884
PITG_00564,0.057644617
PITG_00565,-0.963086774
PITG_00566,-0.570876918
PITG_00567,0.397102024
PITG_00568,-0.491763714
PITG_00569,0.195012707
PITG_00570,0.412911495
PITG_00571,-0.227695245
PITG_00572,-0.378281105
PITG_00573,0.11989478
PITG_00574,-1.211431935
PITG_00575,0.236075425
PITG_00576,-0.201513679
PITG_00577,0.721309531
PITG_00578,0.438062547
PITG_00579,-0.151414391
PITG_00580,0.258370998
PITG_00581,0.069803154
PITG_00582,1.482040506
PITG_00584,0.24693533
PITG_00585,-1.085663639
PITG_00586,0.038546713
PITG_00587,-0.371983071
PITG_00588,-0.903364154
PITG_00589,0.559165545
PITG_00590,-0.241302889
PITG_00591,0.15504216
PITG_00592,-1.052347685
PITG_00593,-0.665560139
PITG_00594,-0.986688595
PITG_00595,0.212801591
PITG_00596,0.83103824
PITG_00597,0.138709891
PITG_00598,-0.551751903
PITG_00599,0.095774414
PITG_00600,0.185760923
PITG_00601,-0.643772498
PITG_00603,-0.079412691
PITG_00605,-0.381324173
PITG_00607,0.49713598
PITG_00608,0.285071839
PITG_00610,0.105794286
PITG_00611,-0.291891453
PITG_00612,0.976929932
PITG_00613,-0.143688769
PITG_00614,-0.196120919
PITG_00615,0.303751497
